Startup_ID,Startup_Name,Industry,Funding_Stage,Funding_Amount_USD,Funding_Date,Country,Investor_Type,Employee_Size,Valuation_USD
126,Startup_126,CleanTech,Pre-Seed,35911828,2019-12-20,Singapore,Private Equity,11-50,328417250
127,Startup_127,HealthTech,Series B,7005855,2021-09-17,India,Accelerator,1-10,410566933
128,Startup_128,FinTech,Series B,4259294,2025-10-06,USA,VC,51-200,25517800
129,Startup_129,AI,Seed,48946297,2024-12-04,Germany,Corporate,1-10,319273125
130,Startup_130,AI,Series A,22013245,2023-04-26,India,Angel,11-50,101747680
131,Startup_131,AI,Seed,45655409,2018-04-11,USA,Accelerator,201-500,496424629
132,Startup_132,E-commerce,IPO,10665087,2021-10-04,Germany,Private Equity,201-500,129328978
133,Startup_133,FinTech,Pre-Seed,11401506,2023-02-09,India,Private Equity,201-500,346026339
134,Startup_134,E-commerce,Series B,10450647,2021-12-14,Canada,Private Equity,11-50,330476300
135,Startup_135,AgriTech,Seed,41233470,2018-08-02,Australia,Angel,1-10,259040275
136,Startup_136,E-commerce,Seed,39267801,2016-10-09,Singapore,Private Equity,51-200,30811480
137,Startup_137,FinTech,Seed,33436237,2025-09-01,Singapore,Private Equity,51-200,244272231
138,Startup_138,FinTech,Pre-Seed,10447188,2022-01-19,Singapore,Accelerator,1-10,244645078
139,Startup_139,AgriTech,Series A,48277187,2022-12-29,Canada,Angel,201-500,47635332
140,Startup_140,FinTech,Seed,16569028,2017-09-03,Australia,Corporate,51-200,278641225
141,Startup_141,CleanTech,Pre-Seed,39198245,2017-11-15,USA,Corporate,201-500,235688602
142,Startup_142,FinTech,Series B,26615995,2021-08-22,Australia,Private Equity,500+,251273811
143,Startup_143,AI,IPO,2264934,2025-03-11,UK,VC,500+,423704156
144,Startup_144,CleanTech,Series C,36035932,2023-04-09,India,Angel,51-200,46749874
145,Startup_145,CleanTech,Pre-Seed,28156480,2017-07-08,USA,VC,1-10,388001803
146,Startup_146,AgriTech,Series C,5549903,2018-09-18,UK,Angel,1-10,473092168
147,Startup_147,EdTech,Seed,40227243,2019-05-31,Singapore,Angel,1-10,130648670
148,Startup_148,EdTech,Seed,38991291,2017-08-15,Singapore,Accelerator,201-500,167965559
149,Startup_149,FinTech,Pre-Seed,44238600,2023-05-31,Singapore,Private Equity,500+,356215503
150,Startup_150,CleanTech,Series C,4067380,2025-08-28,UK,Accelerator,201-500,339922032
151,Startup_151,EdTech,Seed,49164775,2024-03-22,India,VC,11-50,409393471
152,Startup_152,EdTech,Series B,46136944,2017-08-15,India,VC,11-50,464244269
153,Startup_153,FinTech,Series A,21393123,2022-07-03,UK,Corporate,51-200,259374000
154,Startup_154,EdTech,Series A,3535627,2025-10-31,Germany,Accelerator,11-50,395058431
155,Startup_155,E-commerce,Seed,15060991,2021-09-23,Singapore,Accelerator,1-10,186117760
156,Startup_156,HealthTech,Series C,34329743,2017-04-08,USA,Accelerator,51-200,460724925
157,Startup_157,AgriTech,IPO,41652333,2025-05-04,India,Corporate,500+,119463192
158,Startup_158,HealthTech,Seed,4110011,2022-03-17,Australia,Accelerator,500+,260727444
159,Startup_159,FinTech,IPO,5037208,2020-03-06,UK,Accelerator,11-50,229644814
160,Startup_160,AI,IPO,24582844,2021-05-18,Germany,Accelerator,11-50,219865682
161,Startup_161,AgriTech,Series C,10901056,2022-11-07,Canada,Accelerator,500+,46494331
162,Startup_162,FinTech,IPO,24325600,2021-05-23,UK,VC,11-50,210768733
163,Startup_163,CleanTech,Series B,32786269,2016-05-18,Australia,Private Equity,11-50,321466167
164,Startup_164,AI,Series C,47375254,2020-10-20,Germany,VC,201-500,225012759
165,Startup_165,HealthTech,Seed,39775882,2025-05-18,Canada,Accelerator,500+,247410590
166,Startup_166,FinTech,Series B,6488082,2020-02-06,Germany,Angel,500+,426467678
167,Startup_167,CleanTech,Pre-Seed,38928111,2019-07-11,India,Angel,11-50,129065261
168,Startup_168,AgriTech,Series A,27067070,2019-05-19,UK,Corporate,1-10,171653525
169,Startup_169,AgriTech,Seed,23353690,2020-06-16,Australia,VC,201-500,219873985
170,Startup_170,SaaS,Seed,34603961,2024-05-04,Canada,Corporate,1-10,416937818
171,Startup_171,CleanTech,Seed,5572177,2017-04-18,Germany,Corporate,11-50,141175310
172,Startup_172,E-commerce,Series B,32615209,2023-12-06,Canada,Angel,500+,193364725
173,Startup_173,EdTech,Pre-Seed,19168275,2022-10-02,USA,VC,1-10,95131968
174,Startup_174,AI,Series C,22643488,2022-06-27,Australia,Private Equity,51-200,447953419
175,Startup_175,CleanTech,Pre-Seed,40051243,2016-01-05,UK,VC,1-10,341357838
176,Startup_176,SaaS,Series B,18315437,2017-12-24,India,Corporate,500+,289774297
177,Startup_177,EdTech,Seed,47159805,2018-12-17,Canada,Accelerator,11-50,26739377
178,Startup_178,EdTech,Series A,37827623,2023-12-25,Singapore,Corporate,1-10,308979214
179,Startup_179,FinTech,Seed,22509484,2017-10-06,Germany,VC,11-50,283396614
180,Startup_180,EdTech,Series C,44880979,2022-06-18,Singapore,Angel,201-500,227803947
181,Startup_181,E-commerce,IPO,23291278,2018-01-10,Canada,VC,51-200,20684905
182,Startup_182,AgriTech,Series A,31054434,2020-01-17,Australia,Private Equity,500+,413837665
183,Startup_183,SaaS,Seed,17805994,2023-02-02,Singapore,Accelerator,500+,246141217
184,Startup_184,EdTech,Series A,20968556,2024-06-20,Germany,Accelerator,11-50,472277605
185,Startup_185,FinTech,IPO,49802435,2021-04-11,Canada,Corporate,51-200,358887283
186,Startup_186,E-commerce,Pre-Seed,14297190,2022-12-18,India,VC,500+,233150597
187,Startup_187,HealthTech,Series B,14496310,2016-01-31,India,Angel,1-10,300496315
188,Startup_188,AgriTech,Seed,27733117,2021-01-31,UK,Private Equity,500+,457138967
189,Startup_189,AgriTech,Series C,27657294,2021-08-12,India,Corporate,1-10,265167386
190,Startup_190,SaaS,Pre-Seed,23338751,2023-04-29,Canada,VC,500+,290680009
191,Startup_191,AgriTech,Seed,49862147,2024-12-04,Australia,Angel,1-10,352975522
192,Startup_192,EdTech,Pre-Seed,26507351,2024-10-02,Canada,VC,201-500,234769999
193,Startup_193,FinTech,Series C,17031686,2024-01-25,India,Angel,11-50,446212996
194,Startup_194,AgriTech,Seed,13987356,2017-07-25,USA,VC,201-500,79211396
195,Startup_195,AgriTech,IPO,30993655,2019-11-18,Canada,VC,1-10,331510409
196,Startup_196,HealthTech,IPO,12262436,2019-08-26,UK,Corporate,11-50,281647736
197,Startup_197,HealthTech,Series C,33051118,2023-02-01,USA,VC,51-200,476387318
198,Startup_198,AI,Series A,28494659,2023-12-09,India,VC,1-10,200442668
199,Startup_199,E-commerce,Series C,34228991,2025-02-09,Australia,Corporate,500+,307401432
200,Startup_200,EdTech,Series A,1150911,2024-12-06,Germany,Corporate,500+,449010551
201,Startup_201,AgriTech,Seed,35744899,2021-11-06,Canada,Accelerator,51-200,234519313
202,Startup_202,CleanTech,Series A,2080245,2019-01-24,Germany,Accelerator,201-500,251911518
203,Startup_203,AgriTech,Seed,36592938,2016-05-12,Singapore,Corporate,1-10,415759762
204,Startup_204,FinTech,Seed,14083007,2017-09-14,UK,Private Equity,500+,389724101
205,Startup_205,AI,Series B,37253030,2019-06-11,USA,Angel,11-50,377439706
206,Startup_206,E-commerce,Seed,4293638,2017-08-26,Germany,Corporate,51-200,498820795
207,Startup_207,CleanTech,Series A,23305636,2025-11-08,UK,Accelerator,201-500,44709049
208,Startup_208,AI,Series B,39039580,2023-03-01,Germany,VC,201-500,150580467
209,Startup_209,SaaS,Series B,39699444,2025-06-27,Germany,Corporate,11-50,90501626
210,Startup_210,E-commerce,Seed,24206974,2016-05-20,UK,Corporate,11-50,39078880
211,Startup_211,AgriTech,Series C,49826729,2024-10-23,Canada,Accelerator,51-200,132298217
212,Startup_212,AgriTech,Series C,33811255,2022-09-13,Germany,Accelerator,11-50,159839593
213,Startup_213,E-commerce,IPO,38571069,2020-01-09,UK,Private Equity,500+,229824732
214,Startup_214,AgriTech,Series B,36518710,2016-09-28,Germany,Accelerator,201-500,298825048
215,Startup_215,EdTech,Seed,10698085,2023-10-04,Australia,Accelerator,11-50,15168917
216,Startup_216,E-commerce,Series C,46866934,2023-06-02,Canada,Accelerator,1-10,110388384
217,Startup_217,AI,Seed,49518118,2017-09-18,Australia,VC,11-50,6744639
218,Startup_218,E-commerce,Seed,4045705,2023-05-25,Australia,Corporate,201-500,424972991
219,Startup_219,CleanTech,Series B,24577389,2017-08-15,UK,Corporate,500+,191372682
220,Startup_220,AgriTech,IPO,18668257,2020-04-04,Australia,Accelerator,11-50,67738682
221,Startup_221,EdTech,Series B,37336909,2019-12-03,Germany,Private Equity,500+,59306028
222,Startup_222,EdTech,Pre-Seed,26004921,2018-03-30,India,Accelerator,1-10,336368304
223,Startup_223,SaaS,Series C,47150745,2022-08-09,Canada,Private Equity,201-500,255813179
224,Startup_224,AI,Series C,8428022,2017-07-31,Germany,Corporate,51-200,102359288
225,Startup_225,HealthTech,Series C,22934189,2025-12-23,USA,Private Equity,201-500,474913491
226,Startup_226,HealthTech,Series A,27171305,2018-11-08,UK,Private Equity,51-200,142010179
227,Startup_227,E-commerce,Seed,48803478,2019-01-22,Germany,Angel,51-200,90569678
228,Startup_228,SaaS,Series B,45421910,2024-07-27,Canada,Private Equity,201-500,103096417
229,Startup_229,FinTech,Series C,38835220,2021-04-17,Australia,Private Equity,51-200,409531967
230,Startup_230,E-commerce,Pre-Seed,47839452,2024-09-13,Canada,VC,500+,79749311
231,Startup_231,SaaS,Series C,3410408,2022-10-06,USA,Corporate,1-10,204861797
232,Startup_232,AI,IPO,17028919,2025-01-28,Australia,Accelerator,11-50,117240981
233,Startup_233,AI,Seed,28212121,2017-12-20,USA,Angel,51-200,443975678
234,Startup_234,AI,Seed,19659934,2020-03-24,Singapore,Private Equity,51-200,456237082
235,Startup_235,AI,Series B,47822280,2021-06-27,Singapore,VC,201-500,245906518
236,Startup_236,AI,Series A,8672654,2017-06-09,Germany,VC,500+,278595432
237,Startup_237,SaaS,Series B,2342007,2025-09-15,India,Accelerator,11-50,26141450
238,Startup_238,SaaS,Series C,4600642,2018-02-21,Australia,Accelerator,51-200,273551512
239,Startup_239,EdTech,IPO,6785714,2016-08-02,Canada,Corporate,500+,14705299
240,Startup_240,CleanTech,Pre-Seed,4952021,2025-10-29,India,Private Equity,11-50,416588831
241,Startup_241,HealthTech,Series B,7529773,2018-05-31,Australia,VC,201-500,13649391
242,Startup_242,AgriTech,Series A,12221896,2016-10-09,Australia,Angel,51-200,21706232
243,Startup_243,AI,Series B,20565134,2020-10-18,Australia,Corporate,201-500,133696187
244,Startup_244,FinTech,Seed,28773678,2020-11-14,Australia,Private Equity,201-500,468252656
245,Startup_245,AgriTech,Series C,24224207,2024-05-26,India,Accelerator,51-200,335177662
246,Startup_246,SaaS,Series C,2802878,2019-08-05,Germany,Private Equity,500+,18133270
247,Startup_247,FinTech,Series C,24739951,2017-04-22,UK,Accelerator,500+,78275574
248,Startup_248,FinTech,Series C,4369020,2024-08-31,UK,Private Equity,201-500,356612798
249,Startup_249,FinTech,Series C,32939209,2022-04-08,UK,Angel,201-500,121585977
250,Startup_250,EdTech,Series C,4218142,2016-05-06,USA,Corporate,1-10,484650403
251,Startup_251,SaaS,Pre-Seed,38680993,2022-03-11,Australia,Accelerator,11-50,44536966
252,Startup_252,FinTech,Series A,45695836,2022-11-06,Australia,Angel,201-500,151813386
253,Startup_253,AI,Series C,4695399,2024-10-18,Canada,VC,201-500,283149210
254,Startup_254,E-commerce,Series A,3149815,2023-11-27,USA,Angel,11-50,95255562
255,Startup_255,FinTech,IPO,7949405,2017-03-07,Canada,Angel,51-200,18261770
256,Startup_256,EdTech,Series C,47153045,2025-12-17,Singapore,Angel,500+,371740825
257,Startup_257,AgriTech,Series B,31776909,2025-10-14,Canada,Accelerator,51-200,39949401
258,Startup_258,SaaS,Series C,34964679,2022-05-25,Canada,VC,11-50,104835988
259,Startup_259,CleanTech,Seed,6274984,2016-07-31,Germany,Corporate,11-50,479223534
260,Startup_260,EdTech,Pre-Seed,18786828,2019-02-09,UK,Angel,1-10,418376068
261,Startup_261,FinTech,Series B,18646289,2024-12-14,Australia,Accelerator,1-10,378053765
262,Startup_262,SaaS,Series B,46137711,2019-01-19,USA,Accelerator,500+,292325046
263,Startup_263,E-commerce,Seed,4181980,2018-02-01,Singapore,Corporate,201-500,479937380
264,Startup_264,FinTech,Series C,27895792,2022-01-15,USA,Private Equity,11-50,86636189
265,Startup_265,EdTech,Pre-Seed,34626415,2017-03-23,Australia,VC,1-10,88021339
266,Startup_266,HealthTech,Series B,18520711,2021-08-11,Germany,VC,51-200,154602570
267,Startup_267,AI,Pre-Seed,22360039,2016-03-17,Canada,Angel,1-10,341206904
268,Startup_268,CleanTech,Series B,35431082,2018-05-06,Singapore,Private Equity,51-200,452592253
269,Startup_269,AgriTech,Series C,13596755,2022-07-02,UK,VC,1-10,246449558
270,Startup_270,EdTech,IPO,18809383,2024-09-28,Australia,Angel,51-200,91558242
271,Startup_271,SaaS,Series B,22470758,2016-08-04,India,Private Equity,1-10,52545811
272,Startup_272,CleanTech,IPO,33785964,2018-03-04,India,Accelerator,1-10,175737046
273,Startup_273,CleanTech,Series B,16135601,2022-11-07,Germany,Angel,500+,186520910
274,Startup_274,CleanTech,Series A,20118893,2019-04-04,UK,Private Equity,201-500,473515633
275,Startup_275,FinTech,Series C,10953699,2022-11-06,India,Corporate,11-50,276639834
276,Startup_276,AI,Seed,5567967,2016-08-31,India,VC,201-500,331189892
277,Startup_277,FinTech,IPO,31910802,2018-01-20,Australia,Angel,500+,80909418
278,Startup_278,SaaS,Seed,23286528,2024-02-18,Singapore,Accelerator,51-200,50188394
279,Startup_279,FinTech,Series C,16290484,2021-02-06,Singapore,Angel,201-500,11318403
280,Startup_280,HealthTech,Seed,8659707,2025-10-18,Australia,VC,11-50,285126447
281,Startup_281,AI,Series C,28784742,2021-05-03,USA,VC,11-50,290019289
282,Startup_282,AI,Seed,26889936,2017-10-27,Australia,Private Equity,51-200,87175690
283,Startup_283,SaaS,IPO,49205936,2021-09-03,UK,Accelerator,11-50,248113528
284,Startup_284,AgriTech,Series A,20661470,2019-09-28,India,Private Equity,500+,395723038
285,Startup_285,HealthTech,Seed,40183759,2022-05-01,Singapore,Accelerator,201-500,86820985
286,Startup_286,EdTech,IPO,42631328,2016-01-15,Australia,Angel,11-50,102398284
287,Startup_287,FinTech,Series B,44683011,2024-08-11,Singapore,Angel,201-500,436472061
288,Startup_288,E-commerce,Series C,26827785,2024-07-07,Singapore,Private Equity,1-10,456225938
289,Startup_289,FinTech,Pre-Seed,26177619,2022-06-28,USA,Corporate,201-500,489390629
290,Startup_290,CleanTech,Pre-Seed,11021075,2019-08-28,UK,VC,51-200,87223162
291,Startup_291,FinTech,Series C,727510,2024-01-12,Canada,Private Equity,500+,373431507
292,Startup_292,EdTech,Series A,40835453,2022-02-24,Singapore,Private Equity,11-50,493507762
293,Startup_293,FinTech,Seed,25447768,2024-02-02,UK,Angel,500+,408402949
294,Startup_294,HealthTech,Series A,7446822,2023-12-02,Germany,VC,201-500,237282188
295,Startup_295,HealthTech,Pre-Seed,22922224,2025-11-19,USA,Private Equity,11-50,108074314
296,Startup_296,AI,IPO,40697968,2024-09-16,Canada,Angel,500+,311023538
297,Startup_297,SaaS,Series C,24229027,2025-06-02,Singapore,Angel,51-200,290526662
298,Startup_298,AgriTech,Series C,4350675,2020-08-06,Australia,Private Equity,1-10,201551371
299,Startup_299,E-commerce,Series A,19223184,2016-04-25,Singapore,Private Equity,1-10,134419775
300,Startup_300,CleanTech,IPO,16756665,2022-01-02,USA,Angel,51-200,103782799
301,Startup_301,FinTech,Series A,31541873,2017-02-24,USA,Private Equity,1-10,149079264
302,Startup_302,FinTech,Seed,25622826,2019-12-29,India,VC,51-200,223162232
303,Startup_303,EdTech,Series B,12071588,2019-07-22,Singapore,Angel,201-500,228525100
304,Startup_304,SaaS,IPO,27060647,2017-09-28,UK,Angel,51-200,341471977
305,Startup_305,HealthTech,Series B,37689630,2022-05-30,USA,Private Equity,1-10,18161265
306,Startup_306,E-commerce,Seed,28244274,2023-06-06,USA,Private Equity,201-500,458443075
307,Startup_307,AI,Series B,7882728,2017-10-26,Germany,Private Equity,51-200,152999541
308,Startup_308,HealthTech,Pre-Seed,38016608,2025-01-04,Germany,VC,51-200,92834149
